"entrez_gene_id","contributing_probe_count"
"100289373",2
"100289410",1
"100289473",1
"100289495",1
"100289509",1
"100289635",2
"100289678",2
"100289683",1
"100290481",1
"100291323",1
"100291666",1
"100292680",2
"100293211",2
"100293516",1
"100294145",1
"100294362",1
"100294720",1
"1003",1
"100302522",1
"100302640",1
"100302650",1
"100302691",2
"100302692",1
"100302740",1
"100303728",2
"100303755",2
"100306951",1
"100309464",1
"100310756",1
"100316868",3
"100329135",1
"100359394",1
"10036",4
"100379174",1
"100379224",1
"100379345",1
"100379661",1
"10038",3
"100381270",2
"10039",1
"1004",6
"10040",2
"10042",2
"100422212",1
"100422737",2
"100422781",1
"100422872",1
"100423035",1
"100423041",1
"100423062",1
"10043",1
"10044",3
"10045",2
"10046",1
"100462953",1
"10047",1
"10048",4
"10049",1
"100498859",1
"100499171",1
"100499177",1
"100499194",1
"100499227",1
"100499466",4
"100499467",1
"100499489",2
"1005",2
"10050",2
"100500849",1
"100500850",1
"100505474",1
"100505478",1
"100505483",3
"100505494",2
"100505495",1
"100505498",2
"100505501",1
"100505515",1
"100505518",1
"100505530",1
"100505534",1
"100505536",1
"100505538",2
"100505540",1
"100505545",1
"100505547",1
"100505549",2
"100505564",1
"100505570",1
"100505573",2
"100505576",1
"100505583",1
"100505592",1
"100505601",1
"100505609",2
"100505619",1
"100505621",1
"100505622",1
"100505624",2
"100505633",2
"100505635",1
"100505641",2
"100505648",2
"100505658",1
"100505659",1
"100505664",1
"100505666",1
"100505676",1
"100505679",1
"100505681",2
"100505683",1
"100505685",1
"100505687",2
"100505696",1
"100505702",1
"100505710",1
"100505711",1
"100505715",1
"100505716",1
"100505718",1
"100505727",2
"100505741",1
"100505746",2
"100505758",1
"100505761",2
"100505768",1
"100505774",1
"100505776",1
"100505782",1
"100505783",3
"100505784",1
"100505797",1
"100505806",1
"100505811",1
"100505812",2
"100505817",1
"100505824",1
"100505826",1
"100505832",1
"100505835",1
"100505839",1
"100505841",1
"100505851",2
"100505853",1
"100505854",2
"100505865",1
"100505874",1
"100505875",3
"100505876",3
"100505877",1
"100505878",1
"100505879",3
"100505881",3
"100505890",1
"100505893",1
"100505894",2
"100505902",1
"100505912",1
"100505915",1
"100505918",1
"100505920",1
"100505929",1
"100505933",3
"100505938",1
"100505942",1
"100505964",1
"100505967",1
"100505975",1
"100505978",1
"100505985",1
"100505989",1
"100505996",1
"100506012",2
"100506013",1
"100506014",1
"100506016",1
"100506022",1
"100506025",2
"100506033",2
"100506046",1
"100506047",1
"100506049",1
"100506054",1
"100506068",1
"100506070",2
"100506071",1
"100506082",1
"100506083",1
"100506098",1
"100506100",1
"100506107",1
"100506108",1
"100506113",1
"100506114",1
"100506115",1
"100506119",1
"100506122",1
"100506125",1
"100506126",1
"100506127",2
"100506142",2
"100506161",1
"100506172",2
"100506175",1
"100506190",2
"100506195",4
"100506207",2
"100506211",2
"100506215",2
"100506229",1
"100506233",2
"100506235",2
"100506236",1
"100506237",1
"100506243",1
"100506258",2
"100506271",1
"100506272",1
"100506274",2
"100506275",1
"100506282",2
"100506286",1
"100506289",1
"100506299",2
"100506302",1
"100506305",1
"100506311",3
"100506314",2
