filename,uncompressed_bytes,compressed_bytes,compression_method,local_header_offset,crc32
dMean__Epithelial_27_r_all/OPTIM_pcs/base_output/base/Cis_eqtls_independent.tsv,97656,40771,8,12776252152,3325459509
dMean__Epithelial_27_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.12.tsv,236255336,77225895,8,12776293057,3772186520
dMean__Epithelial_27_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.18.tsv,70339104,23240727,8,12853519094,3714441634
dMean__Epithelial_27_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.13.tsv,85253021,28018136,8,12876759963,3750604512
dMean__Colonocyte_ct_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.3.tsv,407561759,134411475,8,12904778241,4171292525
dMean__Colonocyte_ct_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.15.tsv,254694609,84610325,8,13039189855,3514874129
dMean__Colonocyte_ct_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.16.tsv,363094247,122067780,8,13123800320,735547419
dMean__Colonocyte_ct_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.4.tsv,317232450,104059658,8,13245868240,1264787687
dMean__Colonocyte_ct_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.21.tsv,98991944,32854204,8,13349928037,3820976545
dMean__Colonocyte_ct_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.7.tsv,365302874,121385216,8,13382782381,3883242596
dMean__Colonocyte_ct_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.22.tsv,182221214,60609226,8,13504167736,3651764488
dMean__Colonocyte_ct_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.11.tsv,416713984,137090744,8,13564777102,486957870
dMean__Colonocyte_ct_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.6.tsv,495236811,154845648,8,13701867986,3195990435
dMean__Colonocyte_ct_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.2.tsv,487247965,161493138,8,13856713773,349937733
dMean__Colonocyte_ct_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.17.tsv,438501951,145857775,8,14018207050,1658857550
dMean__Colonocyte_ct_all/OPTIM_pcs/base_output/base/Cis_eqtls_qval.tsv,4687628,2020965,8,14164064965,422466164
dMean__Colonocyte_ct_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.5.tsv,354615717,117133374,8,14166086055,4195779940
dMean__Colonocyte_ct_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.9.tsv,284757996,95179821,8,14283219568,1346807978
dMean__Colonocyte_ct_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.19.tsv,593838561,197693045,8,14378399528,2951400720
dMean__Colonocyte_ct_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.10.tsv,291496943,95157387,8,14576092713,81293592
